country,room_type,traveler_type,nr_nights,year,month,score,full_review,emotion,emotion_score,year_month
Spain,Double Room,Couple,2,2023,8,7.0,Of vice Be next to the mouth of the subway 🚇 or The bed,neutral,0.37500280141830444,2023-08
United Kingdom,Twin Room,Family,1,2023,8,7.0,Pleasant stay. The receptionists were very friendly. Breakfast didn't have many options. There was not even enough dishes.,joy,0.7994922995567322,2023-08
Brazil,Twin Room,Couple,3,2023,9,6.0,"It wasn't good because I spent a lot of hot! Location and Service Rooms have no air conditioning controls and I ended up giving up using since each time I turned on, changing the temperature or turning off I would have to call someone from the concierge, which was not viable. I offered a security to get control in the room and was not allowed. I spent three days of heat and the nights were very difficult.",sadness,0.5544072389602661,2023-09
Spain,Double Room,Family,1,2023,9,5.0,"Passable Wide room All old and poorly maintained.
Old taps, half broken handles paint in poor condition. Etc.",sadness,0.3741740882396698,2023-09
Angola,Double Room,Family,1,2023,9,6.0,Pleasant Of the breakfast and the sympathy of the employee. Bathrooms need to update and more detailed cleaning. The Check In employee was not very attentive,joy,0.4384165406227112,2023-09
Spain,Double Room,Couple,2,2023,9,5.0,"Passable It was close to the subway and the area where I was good to park and it was quiet. Buy access to restaurants and supermarkets.
Very friendly staff. The regular facilities !! And also regular cleaning. The shower did not swallow and the TV did not work",joy,0.36914923787117004,2023-09
France,Double Room,Couple,1,2023,9,7.0,"Suitable value for money Good breakfast.
Pleasant staff.
Comfortable bedding. Outside the hotel to renovate.
Unattractive external environment.",joy,0.6567578911781311,2023-09
Portugal,Double Room,Couple,1,2023,8,5.0,"Passable No highlights mentioned. I booked a bedroom with a porch, we had no balcony, when we arrived at the room there was only bath towel for one and I booked room for two. We went to ask for another bath towel and said they didn't. Then one of us had to clean up to the face towels. There were mold marks on the walls and ceiling and walls peeling and in very bad condition. All night was heard a noise of machinery to work that didn't let me rest. Anyway....",disgust,0.8228765726089478,2023-08
Portugal,Double Room,Family,1,2023,8,5.0,"Passable No highlights mentioned. Lack of towels, you need some arrangements, such as the doors to close badly.",neutral,0.5171297788619995,2023-08
Spain,Double Room,Couple,4,2023,8,7.0,Good No highlights mentioned. It has no elevator,neutral,0.503899872303009,2023-08
France,Double Room,Family,2,2023,8,6.0,Pleasant Proximity to the metro quiet area even if not necessarily very nice welcome and breakfast included very well a small grocery store just next to the free parking space by everything Not super well soundproofed clean but dilapidated bathroom ...,joy,0.7840215563774109,2023-08
Spain,Double Room,Family,1,2023,8,7.0,Good Room had tarasa Cleaning,joy,0.8391048312187195,2023-08
Portugal,Double Room,Couple,2,2023,8,7.0,"Enough for two nights of sleep. Good breakfast. 
Near and free parking. The mattress and the end -of -life bed should be replaced.",neutral,0.42668792605400085,2023-08
Angola,Twin Room,Solo traveller,1,2023,7,5.0,"Brief, and short From the service of the Yasmim receptionist, very sweet and calm. WiFi didn't arrive in my room.",sadness,0.5865949988365173,2023-07
France,Double Room,Couple,1,2023,8,7.0,"Very good value for money. A good performance. The reception, the friendliness of the staff, the speed of the answers, the price, the air conditioning for this price, the proximity of amenities and the means of transport ... Really in detail: the shower curtain was too long",joy,0.8740721940994263,2023-08
Spain,Double Room,Family,2,2023,8,7.0,"Good Good quality/price ratio Slightly old facilities. The towels were frayed. Breakfast was served from 7.30 to 10.30, and at 9 you had almost nothing",disgust,0.6059651374816895,2023-08
Germany,Single Room,Family,1,2023,7,6.0,"Porto is worth a trip, the location of the hotel is good. The location of the hotel is very central, very good transport connections. The rooms were okay. The breakfast should have had more choice of cheese and sausage, the price was too high. The hotel is very simple.",neutral,0.6555436253547668,2023-07
Portugal,Double Room,Couple,1,2023,7,5.0,Acceptable hotel just advise more care with insects! Everything except one thing! Small cushion cockroaches,neutral,0.4293157458305359,2023-07
Brazil,Twin Room,Family,1,2023,8,7.0,Good No highlights mentioned. Very weak breakfast.,neutral,0.8157573938369751,2023-08
Romania,Single Room,Group,5,2023,7,5.0,"I will not return to this location. The approximation of means of transport and the place of the conference Misery, vision on the balcony. Modest breakfast.",sadness,0.43559128046035767,2023-07
France,Double Room,Couple,2,2023,7,7.0,I like this family pension but a big need for general maintenance. It should be noted that there is no parking on Family; Not far from the city center; Good breakfast 👍🏻 No parking !!!! Disfit shower (bedroom 201) Flee air conditioning ...,sadness,0.7371143698692322,2023-07
France,Double Room,Couple,2,2023,6,5.0,"Passable Location close to the metro station.
Pleasant welcome. Room with minimalist comfort but sufficient for a short stay. 
Access with reception 24/24. No air conditioning remote control, heat during the difficult stay in the room.",joy,0.712155282497406,2023-06
Spain,Twin Room,Group,3,2023,7,5.0,"Lamentable No highlights mentioned. We did not expect much for the price that cost us, but we definitely expected so little. The rooms could have taken them out of a 1830 horror movie, everything was old, the blankets seemed made with straw remains, the pillows seemed stuffed with newspaper, the bathroom had the oxidized handlebars, the chain made a noise that seemed to take off, the door lacked the lock. To top it off, the last day the light went at the hotel, so we were without loading the mobiles, the phone did not work, breakfast looked like a shelter ... It is a place that needs great advances",sadness,0.34031322598457336,2023-07
Spain,Double Room,Couple,1,2023,7,5.0,Quite regular Price and cleaning Scarce breakfast and a lot of noise,neutral,0.6883835196495056,2023-07
Portugal,Single Room,Solo traveller,5,2023,7,7.0,Good Location No issues mentioned.,neutral,0.8247442841529846,2023-07
Spain,Double Room,Couple,3,2023,7,7.0,Rare and old The service There is no elevator,surprise,0.4240458011627197,2023-07
Spain,Twin Room,Couple,2,2023,7,7.0,"Good to sleep one night Friendly, comfortable, good breakfast, easy to stop The bath could be improved",joy,0.9307422637939453,2023-07
France,Twin Room,Couple,4,2023,6,6.0,Very good stay in Porto. Room with pleasant air conditioning but poor bathroom. The location The bathroom in very poor condition,sadness,0.3599092364311218,2023-06
Portugal,Twin Room,Family,2,2023,6,7.0,Good No highlights mentioned. A lot of noise. And moisture in the room.,disgust,0.4167179763317108,2023-06
Spain,Double Room,Couple,4,2023,6,5.0,"Fair but you can't ask for more Quality-price is fine. For the price .. we look for a place to sleep and shower, correct. But it can improve a lot. All very just. The facilities are quite fair. Oxidized sink and with humidity, dirty garbage (top cover), the blind does not fall because literal falls all the mechanical part above ..",disgust,0.7790806293487549,2023-06
Brazil,Twin Room,Group,1,2023,6,7.0,It would not come back. Hot shower water. Broken shower hitch.,sadness,0.7018191814422607,2023-06
Brazil,Double Room,Couple,2,2023,6,5.0,"Reasonable or less, but with low price. I wouldn't come back. The team and location are the only positive points. Besides, it is a bad hotel, with very bad accommodations. But you need to consider the price low. Bad accommodation",disgust,0.8653754591941833,2023-06
Portugal,Single Room,Solo traveller,1,2023,6,5.0,Passable Sympathy of the people who proved to be requested The air conditioner worked at 2 am and could not turn off. They should not connect in the middle of the night. Luckily I found a blanket (positive point) in the closet.,neutral,0.4691036343574524,2023-06
Portugal,Double Room,Solo traveller,2,2023,6,7.0,"comfortable but a lot of noise from other rooms Clean and has air conditioning. The bed is comfortable and has cable TV. There is no elevator so it is difficult if you have a lot of luggage or heavy luggage, little lighting in the toilet, they did not give me a password for Wi-Fi, does not have the basics (electric coffee maker for a tea/cup/cup or iron), the door of my balcony did not close and the balcony is linked to other balconies which was strange, I could absolutely all that happened in the other rooms.",surprise,0.7991228103637695,2023-06
Spain,Twin Room,Group,1,2023,6,5.0,"Disappointed I had requested 4 bedrooms, but in the end I need 3, and they didn't want to pay 1 room, so I had to take it without needing it, everything is to collect it, a pesetero. That a room would have paid me",sadness,0.854710042476654,2023-06
Portugal,Twin Room,Family,1,2023,6,5.0,"Passable Nice staff It's not clean, it smells bad in the bathroom and the sheets were dirty",disgust,0.9687748551368713,2023-06
Brazil,Double Room,Couple,1,2023,6,7.0,Good cost benefit Good cost benefit Breakfast without much variety,neutral,0.632588803768158,2023-06
Portugal,Twin Room,Family,1,2023,5,7.0,"Very basic hotel. Basic, but with breakfast. The departure time at 11 am is too early and bad!",disgust,0.37804359197616577,2023-05
France,Double Room,Family,1,2023,6,7.0,Good The location. And breakfast No issues mentioned.,neutral,0.546026885509491,2023-06
Spain,Twin Room,Family,1,2023,6,5.0,For nail night is ben Almorzo is Ben Broad Mato,neutral,0.7983375191688538,2023-06
France,Twin Room,Family,4,2023,5,6.0,"Pleasant The breakfasts were generous, good no worries.
The obsolete room but fortunately the clean sheets. 
We have claimed and obtained what we needed in addition without concerns. From mold to ceiling, and on arrival a small towel and a sachet of shower soap per person knowing that we stayed 4 nights ....
 It is quite noisy between the street and the noises that resonate in the hotel.",joy,0.7631484866142273,2023-05
Portugal,Double Room,Group,3,2023,5,7.0,Good Good enough for what was charged No issues mentioned.,neutral,0.8582735657691956,2023-05
Brazil,Single Room,Solo traveller,9,2023,5,6.0,"Reasonable and with good location. Good location. Good service and cleaning team. I couldn't watch television any day. It only had a bathtub, it was old, very narrow. Weak breakfast.",neutral,0.6096309423446655,2023-05
Portugal,Twin Room,Couple,2,2023,5,5.0,Just to sleep and one night The people who attend are very formal The hotel is very deteriorated,sadness,0.4574247896671295,2023-05
France,Twin Room,Group,2,2023,5,7.0,"Good Staff, price and location Breakfast, room to renovate, no parking, noisy",sadness,0.6648735404014587,2023-05
Germany,Double Room,Family,3,2023,5,5.0,"Completely sufficient for overnight/breakfast Great price-performance ratio. Since the metro station is nearby, the location was not a problem a little outside. Not for female people, would have to be improved in some places. But still clean.",neutral,0.8790620565414429,2023-05
Brazil,Single Room,Solo traveller,8,2023,5,7.0,Good Near the University of Porto The facilities are simple.,neutral,0.6579407453536987,2023-05
Brazil,Double Room,Family,2,2023,5,7.0,"Roomy Good location. Bad facilities, very bad bathroom shower. Everything that asks for reception difficulty in service, has no sufficient air conditioning control for all apartments, and does not work properly.",disgust,0.7012787461280823,2023-05
Brazil,Double Room,Group,2,2023,5,5.0,"Very bad The location, near Metro Station, easy access. The hotel facilities are precarious, very bad shower bathroom, required maintenance and modernization.",disgust,0.9033899307250977,2023-05
Brazil,Twin Room,Group,4,2023,5,6.0,"Cost x Benefit = 7 Employees are super attentive, the location is central to access the subway and bus a few steps.
Breakfast with options. The beds were a little hard, but nothing that bothered. And the bathroom could improve, the deprived of the toilet was defective, it was necessary to use a bucket, finally, even sent someone to fix 2x, but did not solve, overall the place is even good, but needs resolution maintenance.
But if you will spend the day by walking and using the room just to sleep, it's worth it.",neutral,0.6729918718338013,2023-05
Portugal,Double Room,Family,3,2023,5,5.0,Passable No highlights mentioned. No issues mentioned.,neutral,0.9567725658416748,2023-05
Portugal,Twin Room,Family,1,2023,4,5.0,Positive reinforcement Sympathy and Localization The place really needs works.,neutral,0.7387953996658325,2023-04
Portugal,Double Room,Couple,2,2023,4,5.0,"Only and only the minimum of the minimums. Location and breakfast. We were not provided enough towels, and even asking we continue to have the same problem. The walls of the room are in an unknowing state. Visually was disappointing, fulfilled the minimums of the minimums.",disgust,0.38609564304351807,2023-04
Portugal,Twin Room,Couple,6,2023,4,5.0,"Passable Localization, helpful employees, price. Very old rooms, in need of urgent reform to at least keep up with some local housing. a lot of ventilation noise. New TV, but with little signal quality and few channels. without remote control. Duche without the shower making ""shower"".",sadness,0.4757671356201172,2023-04
France,Twin Room,Family,6,2023,4,7.0,Good Breakfast is complete. The absence of a balcony.,sadness,0.46357619762420654,2023-04
Spain,Double Room,Couple,3,2023,4,7.0,"Nice and great quality-price Breakfast and excellent location I had no fridge, mold on the bathroom roof.",joy,0.5928061008453369,2023-04
Portugal,Double Room,Couple,3,2023,4,5.0,"Just even to have where to sleep Acceptable breakfast. Old rooms, needing maintenance. Acceptable employees too. Cleaning the rooms was good, they were sanitized and not moving to others. Rooms with mold. Disorganized and dusty reception !! When we arrived our room had no light in the bathroom and the shower did not work. Did not survey the room before delivering",disgust,0.8107832670211792,2023-04
Spain,Double Room,Couple,2,2023,4,7.0,"Good option if you only need the sleeping room, nearby subway stop. Metro stop nearby, restaurants nearby and the area is fine to walk and take something. Everything was very clean and the breakfasts were fine. The room was quite small, the very old television nor did we lit it, the bathroom clearly needs a reform and it was the worst of the room, however it was very clean.",disgust,0.7642039656639099,2023-04
Spain,Double Room,Family,1,2023,4,6.0,"Room Bed and cleaning The very old facilities, the super old television and the very small space, we had to disconnect the phone because it did not stop ringing.",sadness,0.6105928421020508,2023-04
Portugal,Single Room,Solo traveller,3,2023,4,7.0,"Good I liked the room, it was nice, spacious and found it very comfortable. Diurnal staff also friendly and always smiling. For those who are out all day, want to know Porto, have a good night of rest and have safe belongings this is a good hotel! I didn't like the fact that at night the staff takes time to open the hotel door, as it is often closed for security reasons. And although the room was comfortable the shower hose was pouring water out.",joy,0.6920002698898315,2023-04
Italy,Twin Room,Group,1,2023,4,5.0,"Passable Place excellent close to the Sao Joao metro. 
available staff. We stayed two nights in this hotel, not in a row though. 
The first night just arrived in the room as well as having the lock of the defective door and that did not close from the inside we found the beds full of hair.
Small room, there is the indispensable. 
Just a power outlet near the bed.",disgust,0.8234491348266602,2023-04
Italy,Twin Room,Group,1,2023,4,7.0,"Good Excellent location, available staff. 
Since we had a commitment they made us check-in earlier than expected. Free luggage storage. 
Cleaning OK. a little small room. 
Double bed for two small people. 
Small and uncomfortable cushions.",joy,0.6597548723220825,2023-04
Spain,Double Room,Family,1,2023,4,5.0,"Passable Friendly staff Locacio away from the center. The bed was uncomfortable, very hard. Small room. Very poor breakfast only put the right thing and if it ends do not replenish even if there is no amount for all rooms. 
The very small bathtub",disgust,0.7141165733337402,2023-04
Spain,Double Room,Couple,3,2023,4,5.0,"Misleading It serves to sleep and shower, yes The images are misleading. Breakfast and cleaning allowed me to desire.",anger,0.37411364912986755,2023-04
Spain,Double Room,Family,4,2023,4,5.0,"More than a two -star hotel, I would put it like a hostel. The location. That there was always someone at reception. Buffet breakfast. That had no elevator, the cleaning was bad and the facilities very deteriorated.",disgust,0.8989919424057007,2023-04
Portugal,Double Room,Family,1,2023,3,7.0,Good For what intended to do the location is perfect. The room taking did not work which prevented recharging the computer. The internet had many flaws.,sadness,0.7522706985473633,2023-03
Portugal,Single Room,Solo traveller,2,2023,3,7.0,Very pleasant stay in every way. I'll be back. All Nothing to mention,joy,0.9013240933418274,2023-03
Portugal,Single Room,Solo traveller,1,2023,3,5.0,Passable Employees A lot,neutral,0.9553482532501221,2023-03
Portugal,Single Room,Solo traveller,1,2023,3,6.0,Pleasant Well attended location It comes described with parking and has no. The day I arrived did not have to park nearby,joy,0.8661376237869263,2023-03
Portugal,Single Room,Solo traveller,1,2023,3,5.0,"Reasonable location! Reasonable location I had no command in the room for the TV; I asked the reception and the answer was that there were no commands .... Employees, despite goodwill, need more ""formation"" for the functions they perform",neutral,0.7288980484008789,2023-03
Argentina,Double Room,Family,2,2023,2,7.0,Good Location and staff The rooms are extremely small,neutral,0.4810827374458313,2023-02
Portugal,Double Room,Family,1,2023,3,5.0,Had no television command Of convenience and breakfast. Not have access to television,sadness,0.5724981427192688,2023-03
Portugal,Double Room,Couple,1,2023,3,7.0,"In general I liked it a lot I liked the breakfast that was very quiet and organized, the cleaning employee was very friendly and the room itself was clean and smelly. There was some moisture on the ceiling, especially in the toilet, which had the spoiled shower hose, and self-delighting lading water from behind.",disgust,0.7921063303947449,2023-03
France,Double Room,Couple,2,2023,3,5.0,"Not bad for a short stay ... Not too far from the metro to go to the center.
Pleasant staff. .
The rooms are not incredible, small, cold and the bathroom everywhere but it goes for a short stay.
Correct breakfast but not top.",neutral,0.3963141441345215,2023-03
Portugal,Double Room,Couple,1,2023,2,5.0,Passable Cama The room TV was not working very well,sadness,0.6121214628219604,2023-02
Switzerland,Twin Room,Family,1,2023,2,7.0,Smooth Breakfast Bedroom area,joy,0.5086177587509155,2023-02
Portugal,Single Room,Solo traveller,1,2023,2,5.0,"Only the price and iasmin compensate the experience something bad Very good price and location. 
Employee Iasmin is very good, friendly and efficient. 1 I want to smell the tobacco and was full of mold in the corners and a bathroom with a mini bathtub that could not be standing or otherwise (206)., Another room (208) also had some mold, 2 hair in bed and some dirt released in the sheets.
Throughout the hotel constantly day and night is heard an exhaust/extractor to constantly work that prevents sleeping quietly.
The morning employee was not friendly, always walked on the phone even doing service was always moving the phone, just put it to breakfasts almost at the end of breakfast, and it was unprofitable.",disgust,0.9468466639518738,2023-02
Portugal,Single Room,Solo traveller,1,2023,2,5.0,"Passable No highlights mentioned. WC, bed, tv, breakfast",neutral,0.7062453627586365,2023-02
Portugal,Single Room,Solo traveller,2,2023,1,6.0,"Not as I expected Team Cleaning, breakfast and did not match the images",sadness,0.4691542685031891,2023-01
Portugal,Double Room,Family,1,2023,1,5.0,"Passable Very helpful employees. Many noises. AC or VMC machines, or restoration, all night in operation.",neutral,0.411777138710022,2023-01
Poland,Twin Room,Family,1,2022,12,5.0,"Passable Location near the subway Something was rustling all the time, the man from the service did something to stop, but only reduced this noise. At night someone knocked and screamed all the time. No quilt in winter, only a sheet and a blanket. The service gentleman is very clumsy.",disgust,0.5031115412712097,2022-12
Portugal,Single Room,Solo traveller,1,2022,12,6.0,Pleasant Location Cleaning,sadness,0.6042765378952026,2022-12
Portugal,Single Room,Group,3,2022,12,6.0,"High price for the offer practiced. Customer service needs to be improved. breakfast and the storage of the rooms Service (reception worked 24 hours but without employees available when necessary, were near the site but distracted to the mobile phone or even sleeping) and the maintenance and management of the hotel (there were several essential elements in breakfast that were only replaced on the third and last day of accommodation, such as napkins and water)",sadness,0.2958166003227234,2022-12
Brazil,Double Room,Couple,2,2022,12,7.0,"good cost benefit location Breakfast could be better. has a pool of
Water at the door of the hotel, passed a car and wet me all over.",surprise,0.4305453598499298,2022-12
Portugal,Double Room,Couple,2,2022,11,5.0,"price was not bad but the food was very weak and the fourth and very old and toilet with molds on the ceiling No highlights mentioned. Very weak breakfast, little variety of food and has no minimum, I had no bread of the day, no cheese, I had no yogurt, I had no egg, very weak even…",disgust,0.4866470694541931,2022-11
Portugal,Twin Room,Solo traveller,1,2022,10,6.0,Pleasant Location Tobacco smell,joy,0.6798233985900879,2022-10
France,Twin Room,Couple,5,2022,11,6.0,"Pleasant The staff are very pleasant, good Service, welcoming, correct breakfast, it's clean. Bedding to review, refreshing paint required in the bedroom (old apparent water damage ....), badly soundproofed we hear the TV of neighbors, the balcony full of rainwater because no evacuation.

Booking 8 note dates from 2013, ....",joy,0.7957695126533508,2022-11
Spain,Double Room,Couple,3,2022,11,5.0,"To spend a day it is well location. But it is expensive and they charge a ""tourist rate"" that does not exist. The bed was not bad, but it could have a few more pillows, since they were small and individual pillows for the 2 people. The bathroom was spacious and beautiful. As soon as he arrived, the staff spoke to us in Portuguese and, even understanding a little because we are Galicians, they did not strive to express themselves better or talk to us in another language (to ask ourselves if we spoke English, it would be easier to understand ourselves). Thus, we had doubts about when it was the time of arrival at night, if they cleaned the room or how it was done, the breakfast schedules (because it started at 10 but they did not tell us when it ended), etc ... Of course, they knew how to charge us a ""tourist rate"" of 2 euros per person x the nights that we stayed, in this case, a total cost of 12 euros because we stayed 3 nights and 4 days. We did not ask why they charged her, but apparently more tourists have already done it and I, that I have gone several times to Portugal, have never charged me that rate.

There was no elevator, although we didn't care much either as it was only 2 floors.

The room was a bit small, but tight for 2 people without problem. The bathroom was spacious, but it had stains of dirt and moisture, denoting that at most clean above and do not do deep cleaning.

As for the plugs, there was none on the tables, it was where the desktop (which is uncomfortable to load mobile nights, etc). In the bathroom there was only one plug, which had the protection of out of broken plastic (it would be good for them to maintain and fix it).",disgust,0.6148253083229065,2022-11
United States,Single Room,Group,2,2022,10,6.0,"Pleasant Breakfast Behavior of receptionist Marcio, had no ways to address me as a client. 

There was no electricity in the bathroom for one of the days I was staying there fell rain the water entered the ceiling, wet the bed and the room I have plenty of water on the floor, this day I could not sleep.
Generally speaking I had a bad hotel experience. It would not recommend to anyone if the above mentioned aspects are not improved, etc. 
Thanks",sadness,0.6253019571304321,2022-10
Portugal,Single Room,Solo traveller,1,2022,10,5.0,"Passable Good location, close to S. João and IPO. Meter 5 minutes walk. Poor sound isolation, being possible to hear everything that happens in the bedrooms next to and in the corridor. A guest went to bathe at 2 am and it was impossible to sleep with the noise of the water running and the water pump working. When the bell touches the reception you hear everything in the rooms. Access to rooms is done only by narrow stairs, which is a barrier to people with physical problems.",disgust,0.33612000942230225,2022-10
Portugal,Twin Room,Group,1,2022,10,5.0,"horrible nothing! I didn't like anything! It had two reserves made, and the beds were uncomfortable, everything was heard from some rooms to the others, in my room there was no light in the bathroom! In the other room there was no water in Sanita, finally sure was the worst hotel where I was!",fear,0.7024902701377869,2022-10
Mexico,Twin Room,Solo traveller,2,2022,10,7.0,Good Good value for money You need to remodel,neutral,0.4922807514667511,2022-10
France,Double Room,Family,4,2022,10,5.0,Passable Correct room and close to public transport. Large logistics problem at reception. We were billed twice and only managed to recover our money after having strongly insisted with the owners for two days who send us back to the Booking while the error was theirs. .,neutral,0.6395578384399414,2022-10
France,Double Room,Group,2,2022,10,5.0,"Passable Pleasant welcome
Top breakfast
Top shower pressure The bed is not comfortable The mattresses of the mattress come out at all times in the night. We hear the neighbors of the room and the windows do not close. The tiling joins are moldy.",disgust,0.6383630037307739,2022-10
Portugal,Double Room,Solo traveller,2,2022,9,6.0,"Pleasant Very good service. Very weak breakfast, not worth the price paid. On the second morning there was no bread when I went to breakfast!",joy,0.6981930136680603,2022-09
Germany,Twin Room,Family,4,2022,10,6.0,"No interest in the guest No highlights mentioned. 2 days a bathroom without light. Fortunately, we had headlamps. Do not complain about interest
The day before our departure around 8.45 breakfast table not covered and full of crumbs. No rolls, no ham, no cheese. Coffee empty, no milk. Owner simply ignored us. On request at staff, these rolls ran, then milk again. Otherwise nothing was filled. Then coffee was even filled, which was inedible, however. Breakfast always the same.
Bathroom door could not be pulled",neutral,0.34220728278160095,2022-10
Spain,Double Room,Family,1,2022,10,7.0,Good Good treatment of reception staff No issues mentioned.,neutral,0.6203428506851196,2022-10
Portugal,Twin Room,Solo traveller,3,2022,9,6.0,Stress Employee sympathy and very good location Cleaning a little to be desired and breakfast with little variety L,sadness,0.5574665069580078,2022-09
France,Twin Room,Couple,5,2022,9,7.0,"Well -located Nice staff including French, metro nearby ... Refresh room
No elevator for a person with reducing mobility",sadness,0.4078257977962494,2022-09
France,Single Room,Solo traveller,1,2022,9,6.0,"Small hotel to finish renovating The hotel is clean, the breakfast room has been renovated and it's clean and new. Ditto for reception. The rooms are old, the French windows do not close, as for the bathrooms, they really need to be completely redone!",surprise,0.3320380747318268,2022-09
Italy,Twin Room,Family,5,2022,9,6.0,"Pleasant Price below the port average.
Very kind staff The structure a little dated.",neutral,0.6154855489730835,2022-09
Portugal,Twin Room,Group,1,2022,9,7.0,"Good The employees are very friendly. The room is good according to the price. The room was air conditioned to work. The toilet door did not closely close and was damaged. There was a background noise apparently related to ventilation (we did not really question the origin) but it did not prevent rest in any way. The surrounding zone does not have a great look, but we had no problem in traveling and to the hotel.",neutral,0.7571583390235901,2022-09
Portugal,Double Room,Group,1,2022,9,7.0,"Good accommodation We stayed at this hotel because we had a wedding and the fifth was close. Well -lit room with several mirrors (which helps a lot when we are preparing for a wedding). Good breakfast. Duche curtains in the bathroom bathtub, I don't consider it at all hygienic. Old facilities, bathroom ceiling with moisture marks.",disgust,0.5511197447776794,2022-09
Portugal,Twin Room,Family,1,2022,9,6.0,"Pleasant Sympathy of employees, always smiling and helpful. I stayed in a room under the machine. From the hotel air conditioner, a little noisy.
It was a bad luck I have never had at this hotel ...",joy,0.7906702160835266,2022-09
Portugal,Double Room,Couple,1,2022,9,6.0,"Pleasant Location Old -fashioned room, maintenance -free bathroom, clogged pipes",sadness,0.9362671375274658,2022-09
Spain,Double Room,Solo traveller,2,2022,8,7.0,Good Breakfast little variety and quantity. No issues mentioned.,neutral,0.6389741897583008,2022-08
France,Twin Room,Couple,4,2022,9,7.0,"Clean hotel, pleasant staff, very average breakfast, the facilities deserve a new stroke. The location, the rooms were clean. For breakfast, the choice was insufficient and not replenished especially on weekends.
The bathtub curtain, not very hygienic.
Very dilapidated room.",disgust,0.4473471939563751,2022-09
Portugal,Double Room,Couple,1,2022,9,6.0,"It was acceptable, it was what I expected. It was a simple but enough breakfast. Nothing to mention.",neutral,0.9104995131492615,2022-09
Portugal,Double Room,Couple,2,2022,8,7.0,"boa food Lack of sockets in the room, and air conditioning is not working",sadness,0.8914317488670349,2022-08
Serbia,Twin Room,Group,7,2022,9,7.0,"Review - Hotel Portinari, Porto The location of the hotel is extremely good because the building is located near the initial station of one subway line as well as bus cells with several lines that divide the whole city. Also, the surroundings of the hotel is very quiet and quiet so that there is not much noise, and on the terrace, although small, can rest in the morning or evening.
What is another positive thing is that there is a possibility of adding a third bed, which in our case was so. Breakfast that was Swedish, which is quite scarce with only a few types of pastries, ham, helmet, spreads and flakes. The beverages were tea, milk (cow and soybean), coffee, juice and water, which was satisfactory. What was not well reflected in us was that we came to breakfast a few occasions a few occasions, and the food was not reinstated but only ""remains"" were on the table, and we had a very weak breakfast.",joy,0.5223034024238586,2022-09
Portugal,Single Room,Solo traveller,1,2022,9,6.0,Friendly Hotel for a short stay in Porto - Very friendly employees - Room properly clean - Location near Metro and São João Hospital - slightly old installations,joy,0.8105598092079163,2022-09
France,Double Room,Couple,1,2022,8,5.0,"Help out for a night No highlights mentioned. The air conditioning did not work 
Street window 
Hot 
Panel of the blue brand that reflects in the room at night we believe ourselves in the middle of the day.
Very little breakfast choice, there was almost nothing left.
No parking space",surprise,0.313061386346817,2022-08
Spain,Double Room,Couple,4,2022,9,5.0,"Far and old Well connected with everything, airport center ... Far from the center even by bus, poor, old and noisy breakfast",sadness,0.7910128235816956,2022-09
France,Twin Room,Couple,1,2022,8,5.0,"Not top The proximity of the metro (about 5 min walk) We hear everything that is happening in the rooms next to it is very badly isolated. The hotel is really very dated, the photos are a little misleading ... The bathtub was blocked, broken and with inlaid tasks.
The hotel is practical and can help you out if you stay there one night but personally I could not have stayed there longer.",sadness,0.43039020895957947,2022-08
United Kingdom,Double Room,Family,1,2022,8,6.0,"Elvis very nice The impeccable service of Elvis the lack of cleaning in the rooms, had pubic hair by t",joy,0.5676147937774658,2022-08
Spain,Double Room,Couple,3,2022,8,6.0,"Improvable The kindness of the receptionist when we arrive The cleaning of the room, that we had to leave the keys so that they could clean it and breakfast was quite basic and simple for what it costs.",joy,0.7419928908348083,2022-08
Netherlands,Twin Room,Couple,2,2022,8,6.0,"If you are used to luxury, then don't come here. Close to the metro.
The air conditioning.
Girl behind the Bali was very friendly. Towels were not ready in the wash. We only got later.
No stop for the bath .....
No cleaning during the day ... also no clean towels.
Trullet in the shower was not emptied.
Man of breakfast coughed terribly.
Breakfast was not supplemented.",disgust,0.858316957950592,2022-08
France,Double Room,Couple,14,2022,8,7.0,A good stay as a whole. Cosi and pleasant establishment close to everything on foot and by car. The location has earned us some worries with our vehicle.,joy,0.6974873542785645,2022-08
France,Twin Room,Couple,1,2022,8,5.0,Passable Breakfast Very dilapidated room,disgust,0.7502232789993286,2022-08
Spain,Twin Room,Family,1,2022,8,7.0,"Good Near the subway, friendly staff cleaning is improved",joy,0.8906569480895996,2022-08
Brazil,Double Room,Family,4,2022,7,5.0,Passable Near markets and the metro The care at reception in the afternoon is always bad. Lack of towels exchange is the custom of the house,disgust,0.4726964831352234,2022-07
Portugal,Twin Room,Family,2,2022,8,5.0,Reasonable. Little variety of gender No issues mentioned.,neutral,0.7955486178398132,2022-08
Portugal,Single Room,Group,1,2022,8,5.0,Good if we are not with high expectations We enjoyed the sympathy of employees and cleaning the space in general It did not please the beds and the breakfast was far short of what is presented in the photographs of the space,joy,0.9386046528816223,2022-08
Spain,Double Room,Couple,1,2022,8,6.0,"Pleasant located near the subway and with a car park The facilities are old, it has no elevator ...",sadness,0.9048604369163513,2022-08
Spain,Twin Room,Couple,3,2022,8,5.0,"For the price it is fine The room was very clean There was no elevator, the staff did not carry any badges so you did not know who you should talk.",neutral,0.879038393497467,2022-08
