country,room_type,traveler_type,nr_nights,date,year,month,score,title_review_en,pos_review_en,neg_review_en
Portugal,Single Room,Solo traveller,1,December 2022,2022,December,6.0,Pleasant,Location,Cleaning
Portugal,Single Room,Group,3,December 2022,2022,December,6.0,High price for the offer practiced. Customer service needs to be improved.,breakfast and the storage of the rooms,"Service (reception worked 24 hours but without employees available when necessary, were near the site but distracted to the mobile phone or even sleeping) and the maintenance and management of the hotel (there were several essential elements in breakfast that were only replaced on the third and last day of accommodation, such as napkins and water)"
Brazil,Double Room,Couple,2,December 2022,2022,December,7.0,good cost benefit,location,"Breakfast could be better. has a pool of Water at the door of the hotel, passed a car and wet me all over."
Portugal,Double Room,Couple,2,November 2022,2022,November,5.0,price was not bad but the food was very weak and the fourth and very old and toilet with molds on the ceiling,No review,"Very weak breakfast, little variety of food and has no minimum, I had no bread of the day, no cheese, I had no yogurt, I had no egg, very weak even..."
Portugal,Twin Room,Solo traveller,1,October 2022,2022,October,6.0,Pleasant,Location,Tobacco smell
France,Twin Room,Couple,5,November 2022,2022,November,6.0,Pleasant,"The staff are very pleasant, good Service, welcoming, correct breakfast, it's clean.","Bedding to review, refreshing paint required in the bedroom (old apparent water damage ....), badly soundproofed we hear the TV of neighbors, the balcony full of rainwater because no evacuation.  Booking 8 note dates from 2013, ...."
Spain,Double Room,Couple,3,November 2022,2022,November,5.0,"To spend a day it is well location. But it is expensive and they charge a ""tourist rate"" that does not exist.","The bed was not bad, but it could have a few more pillows, since they were small and individual pillows for the 2 people. The bathroom was spacious and beautiful.","As soon as he arrived, the staff spoke to us in Portuguese and, even understanding a little because we are Galicians, they did not strive to express themselves better or talk to us in another language (to ask ourselves if we spoke English, it would be easier to understand ourselves). Thus, we had doubts about when it was the time of arrival at night, if they cleaned the room or how it was done, the breakfast schedules (because it started at 10 but they did not tell us when it ended), etc ... Of course, they knew how to charge us a ""tourist rate"" of 2 euros per person x the nights that we stayed, in this case, a total cost of 12 euros because we stayed 3 nights and 4 days. We did not ask why they charged her, but apparently more tourists have already done it and I, that I have gone several times to Portugal, have never charged me that rate.  There was no elevator, although we didn't care much either as it was only 2 floors.  The room was a bit small, but tight for 2 people without problem. The bathroom was spacious, but it had stains of dirt and moisture, denoting that at most clean above and do not do deep cleaning.  As for the plugs, there was none on the tables, it was where the desktop (which is uncomfortable to load mobile nights, etc). In the bathroom there was only one plug, which had the protection of out of broken plastic (it would be good for them to maintain and fix it)."
United States,Single Room,Group,2,October 2022,2022,October,6.0,Pleasant,Breakfast,"Behavior of receptionist Marcio, had no ways to address me as a client.   There was no electricity in the bathroom for one of the days I was staying there fell rain the water entered the ceiling, wet the bed and the room I have plenty of water on the floor, this day I could not sleep. Generally speaking I had a bad hotel experience. It would not recommend to anyone if the above mentioned aspects are not improved, etc.  Thanks"
Portugal,Single Room,Solo traveller,1,October 2022,2022,October,5.0,Passable,"Good location, close to S. Joao and IPO. Meter 5 minutes walk.","Poor sound isolation, being possible to hear everything that happens in the bedrooms next to and in the corridor. A guest went to bathe at 2 am and it was impossible to sleep with the noise of the water running and the water pump working. When the bell touches the reception you hear everything in the rooms. Access to rooms is done only by narrow stairs, which is a barrier to people with physical problems."
Portugal,Twin Room,Group,1,October 2022,2022,October,5.0,horrible,nothing!,"I didn't like anything! It had two reserves made, and the beds were uncomfortable, everything was heard from some rooms to the others, in my room there was no light in the bathroom! In the other room there was no water in Sanita, finally sure was the worst hotel where I was!"
Mexico,Twin Room,Solo traveller,2,October 2022,2022,October,7.0,Good,Good value for money,You need to remodel
France,Double Room,Family,4,October 2022,2022,October,5.0,Passable,Correct room and close to public transport.,Large logistics problem at reception. We were billed twice and only managed to recover our money after having strongly insisted with the owners for two days who send us back to the Booking while the error was theirs. .
France,Double Room,Group,2,October 2022,2022,October,5.0,Passable,Pleasant welcome Top breakfast Top shower pressure,The bed is not comfortable The mattresses of the mattress come out at all times in the night. We hear the neighbors of the room and the windows do not close. The tiling joins are moldy.
Portugal,Double Room,Solo traveller,2,September 2022,2022,September,6.0,Pleasant,Very good service.,"Very weak breakfast, not worth the price paid. On the second morning there was no bread when I went to breakfast!"
Germany,Twin Room,Family,4,October 2022,2022,October,6.0,No interest in the guest,No review,"2 days a bathroom without light. Fortunately, we had headlamps. Do not complain about interest The day before our departure around 8.45 breakfast table not covered and full of crumbs. No rolls, no ham, no cheese. Coffee empty, no milk. Owner simply ignored us. On request at staff, these rolls ran, then milk again. Otherwise nothing was filled. Then coffee was even filled, which was inedible, however. Breakfast always the same. Bathroom door could not be pulled"
Spain,Double Room,Family,1,October 2022,2022,October,7.0,Good,Good treatment of reception staff,No review
Portugal,Twin Room,Solo traveller,3,September 2022,2022,September,6.0,Stress,Employee sympathy and very good location,Cleaning a little to be desired and breakfast with little variety L
France,Twin Room,Couple,5,September 2022,2022,September,7.0,Well -located,"Nice staff including French, metro nearby ...",Refresh room No elevator for a person with reducing mobility
France,Single Room,Solo traveller,1,September 2022,2022,September,6.0,Small hotel to finish renovating,"The hotel is clean, the breakfast room has been renovated and it's clean and new. Ditto for reception.","The rooms are old, the French windows do not close, as for the bathrooms, they really need to be completely redone!"
Italy,Twin Room,Family,5,September 2022,2022,September,6.0,Pleasant,Price below the port average. Very kind staff,The structure a little dated.
Portugal,Twin Room,Group,1,September 2022,2022,September,7.0,Good,The employees are very friendly. The room is good according to the price. The room was air conditioned to work.,"The toilet door did not closely close and was damaged. There was a background noise apparently related to ventilation (we did not really question the origin) but it did not prevent rest in any way. The surrounding zone does not have a great look, but we had no problem in traveling and to the hotel."
Portugal,Double Room,Group,1,September 2022,2022,September,7.0,Good accommodation,We stayed at this hotel because we had a wedding and the fifth was close. Well -lit room with several mirrors (which helps a lot when we are preparing for a wedding). Good breakfast.,"Duche curtains in the bathroom bathtub, I don't consider it at all hygienic. Old facilities, bathroom ceiling with moisture marks."
Portugal,Twin Room,Family,1,September 2022,2022,September,6.0,Pleasant,"Sympathy of employees, always smiling and helpful.","I stayed in a room under the machine. From the hotel air conditioner, a little noisy. It was a bad luck I have never had at this hotel ..."
Portugal,Double Room,Couple,1,September 2022,2022,September,6.0,Pleasant,Location,"Old -fashioned room, maintenance -free bathroom, clogged pipes"
Spain,Double Room,Solo traveller,2,August 2022,2022,August,7.0,Good,Breakfast little variety and quantity.,No review
France,Twin Room,Couple,4,September 2022,2022,September,7.0,"Clean hotel, pleasant staff, very average breakfast, the facilities deserve a new stroke.","The location, the rooms were clean.","For breakfast, the choice was insufficient and not replenished especially on weekends. The bathtub curtain, not very hygienic. Very dilapidated room."
Portugal,Double Room,Couple,1,September 2022,2022,September,6.0,"It was acceptable, it was what I expected.",It was a simple but enough breakfast.,Nothing to mention.
Portugal,Double Room,Couple,2,August 2022,2022,August,7.0,boa,food,"Lack of sockets in the room, and air conditioning is not working"
Serbia,Twin Room,Group,7,September 2022,2022,September,7.0,"Review - Hotel Portinari, Porto","The location of the hotel is extremely good because the building is located near the initial station of one subway line as well as bus cells with several lines that divide the whole city. Also, the surroundings of the hotel is very quiet and quiet so that there is not much noise, and on the terrace, although small, can rest in the morning or evening. What is another positive thing is that there is a possibility of adding a third bed, which in our case was so.","Breakfast that was Swedish, which is quite scarce with only a few types of pastries, ham, helmet, spreads and flakes. The beverages were tea, milk (cow and soybean), coffee, juice and water, which was satisfactory. What was not well reflected in us was that we came to breakfast a few occasions a few occasions, and the food was not reinstated but only ""remains"" were on the table, and we had a very weak breakfast."
Portugal,Single Room,Solo traveller,1,September 2022,2022,September,6.0,Friendly Hotel for a short stay in Porto,- Very friendly employees - Room properly clean - Location near Metro and Sao Joao Hospital,- slightly old installations
France,Double Room,Couple,1,August 2022,2022,August,5.0,Help out for a night,No review,"The air conditioning did not work  Street window  Hot  Panel of the blue brand that reflects in the room at night we believe ourselves in the middle of the day. Very little breakfast choice, there was almost nothing left. No parking space"
Spain,Double Room,Couple,4,September 2022,2022,September,5.0,Far and old,"Well connected with everything, airport center ...","Far from the center even by bus, poor, old and noisy breakfast"
France,Twin Room,Couple,1,August 2022,2022,August,5.0,Not top,The proximity of the metro (about 5 min walk),"We hear everything that is happening in the rooms next to it is very badly isolated. The hotel is really very dated, the photos are a little misleading ... The bathtub was blocked, broken and with inlaid tasks. The hotel is practical and can help you out if you stay there one night but personally I could not have stayed there longer."
United Kingdom,Double Room,Family,1,August 2022,2022,August,6.0,Elvis very nice,The impeccable service of Elvis,"the lack of cleaning in the rooms, had pubic hair by t"
Spain,Double Room,Couple,3,August 2022,2022,August,6.0,Improvable,The kindness of the receptionist when we arrive,"The cleaning of the room, that we had to leave the keys so that they could clean it and breakfast was quite basic and simple for what it costs."
Netherlands,Twin Room,Couple,2,August 2022,2022,August,6.0,"If you are used to luxury, then don't come here.",Close to the metro. The air conditioning. Girl behind the Bali was very friendly.,Towels were not ready in the wash. We only got later. No stop for the bath ..... No cleaning during the day ... also no clean towels. Trullet in the shower was not emptied. Man of breakfast coughed terribly. Breakfast was not supplemented.
France,Double Room,Couple,14,August 2022,2022,August,7.0,A good stay as a whole.,Cosi and pleasant establishment close to everything on foot and by car.,The location has earned us some worries with our vehicle.
France,Twin Room,Couple,1,August 2022,2022,August,5.0,Passable,Breakfast,Very dilapidated room
Spain,Twin Room,Family,1,August 2022,2022,August,7.0,Good,"Near the subway, friendly staff",cleaning is improved
Brazil,Double Room,Family,4,July 2022,2022,July,5.0,Passable,Near markets and the metro,The care at reception in the afternoon is always bad. Lack of towels exchange is the custom of the house
Portugal,Twin Room,Family,2,August 2022,2022,August,5.0,Reasonable.,Little variety of gender,No review
Portugal,Single Room,Group,1,August 2022,2022,August,5.0,Good if we are not with high expectations,We enjoyed the sympathy of employees and cleaning the space in general,It did not please the beds and the breakfast was far short of what is presented in the photographs of the space
Spain,Double Room,Couple,1,August 2022,2022,August,6.0,Pleasant,located near the subway and with a car park,"The facilities are old, it has no elevator ..."
Spain,Twin Room,Couple,3,August 2022,2022,August,5.0,For the price it is fine,The room was very clean,"There was no elevator, the staff did not carry any badges so you did not know who you should talk."
France,Double Room,Couple,1,August 2022,2022,August,5.0,Passable,Pleasant staff,Can't find my reservation and wanted to do it again paid
Spain,Twin Room,Family,3,August 2022,2022,August,5.0,Passable,No review,"Very just breakfast. It may be old, but the smell of moisture and closed was very uncomfortable. There was no elevator to climb several floors."
Spain,Double Room,Couple,5,July 2022,2022,July,5.0,I think I would look for other options in the future. But you can't ask for more for a 2 star hotel,Breakfast was the best part. They make homemade cake which is very pleasant. The attention at reception is good. For the rest it is a 2 -star hotel that meets its place.,The pillows were horrible.
France,Double Room,Couple,2,July 2022,2022,July,5.0,Passable,The location of a free street parking space,Too noisy at night.
Slovenia,Double Room,Family,3,July 2022,2022,July,5.0,Passable,Location on the edge of the city near the metro and staff,"Cleanliness of dining rooms, bathrooms and disorder of dining room, damaged door for room"
Spain,Double Room,Family,1,July 2022,2022,July,5.0,Passable,No review,"The small room, for 3 people, bad views, we will not repeat"
Spain,Twin Room,Group,1,July 2022,2022,July,7.0,Good,Exterior light. Bed comfort. Good cleaning,Entrance to the narrow bath. Long shower curtain. Absence of elevator. Television somewhat outdated and with a bad connection. Wi -Fi malfunction in the room
Spain,Double Room,Family,1,July 2022,2022,July,7.0,GOOD,"Little for the time it was, but well passable",No review
Spain,Double Room,Solo traveller,1,July 2022,2022,July,7.0,advisable,precio,broken mirror
Portugal,Twin Room,Couple,4,June 2022,2022,June,7.0,Good,Sympathy of employees.,The cleaning was very small.
Italy,Double Room,Family,3,June 2022,2022,June,7.0,Good,"Comfortable position, 5 minutes from the meter that takes you to the center, friendly reception","Breakfast at present but not inviting, quite poor, too uncomfortable beds, we slept badly"
Spain,Double Room,Couple,1,June 2022,2022,June,5.0,Normal,The personnel who have been super pleasant with us. Which is central and comfortable to get to Porto. Rich and quite varied breakfast,"The cleaning, there were hairs and papers of other people. The old facilities and says that it has parking when it is not. Breakfast like low at 10 is anything left, they don't replenish but I was very rich."
Italy,Twin Room,Solo traveller,2,June 2022,2022,June,6.0,Pleasant,"Bright room, discreet breakfast",The hotel certainly needs a general renewed
Czech Republic,Double Room,Couple,4,June 2022,2022,June,7.0,Good,Breakfast,Bed and doors
Portugal,Double Room,Couple,1,June 2022,2022,June,6.0,pleasant,"Location, employees, small but pleasant breakfast",bed; Hear if a lot of noise from the other rooms
Portugal,Double Room,Solo traveller,4,May 2022,2022,May,5.0,Passable,location,Something old -fashioned environment
France,Double Room,Couple,3,May 2022,2022,May,7.0,Good,"Practical hotel with good value for money. Located 5 minutes from the Metro D terminus, you will need 15 min to reach Porto Center. The rooms are correct, however provide earplugs for the most sensitive.","A small downside on breakfast and freshness of the products (ham, cheese and butter not refrigerated)"
France,Twin Room,Family,3,May 2022,2022,May,7.0,Good,For the sufficient service price. I have been going there regularly.,The rooms are dated. A paint stroke would be good. No elevator. Not very successful soundproofing. Lack of proximity and customer contact from staff.
France,Double Room,Couple,13,May 2022,2022,May,5.0,Justified low price.,The possibility of parking your car is appreciable.,The noise from day and night is very disturbing.... Set all night.
Germany,Single Room,Solo traveller,7,May 2022,2022,May,7.0,Good 2 star hotel,"Good location in 15 minutes you can reach the center with the metro. However, if you just want to go out the door in the evening to stumble into the turmoil is not right.  Breakfast always sufficient but somewhat monotonous.  A good hotel for the price performance ratio.",Unfortunately no WiFi
France,Double Room,Couple,3,May 2022,2022,May,7.0,Good,"Hotel very well located, close to the metro. Possibility to park in the street safely. Our car stayed 3 days without moving, perfect. Comfortable bedding.","Cleanliness in common areas and in the bedroom is a bit limited. 2 calm nights and a very noisy night. Breakfast. 2 times, we arrived an hour after the opening and certain foods lacked. The last morning, naked arrived at the opening at 7:30 a.m. and it took 8 a.m. for the buffet to be garnished."
Spain,Double Room,Family,2,May 2022,2022,May,5.0,Passable,Hotel to spend one or two nights,No review
Italy,Double Room,Couple,7,May 2022,2022,May,6.0,A little spartan but still those who do not scruple to aesthetics is an option that is worth,Excellent cleaning Commendable service Super breakfast,"Cartavelina walls, too close to a central hospital in Porto (Matosinhos) then ambulances all day."
Portugal,Twin Room,Family,2,April 2022,2022,April,7.0,Good,Very clean. Good breakfast with variety of choice.,No review
Spain,Double Room,Couple,3,April 2022,2022,April,5.0,I would not repeat,complies with what was offered,We hired breakfast that was available until 11.... We went down at 10: 15h and we had to eat the leftovers of others because it did not put anything more food or roasted bread ...
Spain,Double Room,Couple,1,April 2022,2022,April,5.0,You can't sleep,Nothing,"It's a pension, not a hotel"
Spain,Double Room,Couple,5,April 2022,2022,April,7.0,Good,"Fast food very close and that the rooms had a balcony the pleasant staff and that the subway was winged, quiet street.",The doors in general made a lot of noise
Spain,Double Room,Family,4,April 2022,2022,April,7.0,Good,"The buffet breakfast is quite good, if they incorporated a machine to toast the bread would be appreciated. The facilities are old but clean, they cleaned every day and changed our towels. The staff is very attentive.","The break was not entirely satisfactory because of hard mattresses and almost non -existent pillows, the window is double glass but cars are heard when rolling on the cobblestone of the street, I fear that it is an endemic evil in all Porto, since its streets are like that, it is what has the charm of the old."
Portugal,Single Room,Solo traveller,1,April 2022,2022,April,6.0,Pleasant,Good location. Sympathetic reception employee. Ease of access to accommodation without limitations/ constraints in the schedules.,Lack of sound isolation of the room led to the whole night the noise compromise the rest.
Portugal,Twin Room,Family,2,April 2022,2022,April,5.0,Passable,No review,"The mattresses are very uncomfortable, seem to be very old and have a hole."
Portugal,Double Room,Couple,3,April 2022,2022,April,7.0,Good,Location.  Quality ratio price.,No review
Spain,Twin Room,Family,1,April 2022,2022,April,6.0,Pleasant,Precio,Cleaning and antiquity
Spain,Double Room,Couple,2,April 2022,2022,April,6.0,Good for a couple of days,"Buffet breakfast very good, very friendly staff, noise was heard from the room, good communication with the Sao Joao Hospital, which goes to the center of Porto in just 7 stops (15 minutes)",Valid but old facilities
Spain,Double Room,Couple,2,April 2022,2022,April,6.0,Pleasant,"Very good location, 5 min walking direct transport to the center of Porto. Ideal to park if you go by car",No review
Portugal,Double Room,Solo traveller,2,April 2022,2022,April,6.0,Pleasant,well located and have the basic things,"of the bedroom door, the protective plastic cover of the mattress, the number of electric outlets. It's not a bad choice but the paid price made me expect better."
Portugal,Double Room,Couple,1,April 2022,2022,April,6.0,Pleasant,No review,"Having reached the small lunch and not having a ham or cheese, because it was over and 1h30 of breakfast. In addition to finishing coffee and milk and having to be going to ask to replace the employees present, because they do not replace, if they do not ask just looking at people, behind the counter. The chocolate powder to put in milk also had to scrape the pot.  In addition, cleaning the room toilet was desired, because we noticed that it had wrappers used by previous guests of champu and bath gel spread in the toilet. The toilet mirror was also full of water brands drain and white spots, visibly for lack of cleaning."
Portugal,Single Room,Solo traveller,1,April 2022,2022,April,5.0,Passable,No review,at the sound level it is not very comfortable because there is a noise of the road
Portugal,Single Room,Solo traveller,1,March 2022,2022,March,5.0,Passable,Price with breakfast included,"Bathroom, shower hose expelling water everywhere, the bed hit the wall to the minimum movement that I did to sleep and the heating was not enough."
Portugal,Single Room,Solo traveller,1,March 2025,2025,March,1.0,Bad,No review,Poor conditions
Spain,Double Room,Family,1,March 2025,2025,March,2.0,Very poor,Nothing,All
Portugal,Double Room,Family,1,March 2025,2025,March,10.0,Gilead,"Of the service, the stay was good summarized I was pleased with the accommodation conditions at the hotel",No review
Argentina,Twin Room,Couple,1,February 2025,2025,February,1.0,Very expensive and bad,"The good attention of the staff, the breakfast.","The great deterioration of the facilities. The TV did not walk, there is no space, the paint is very old, the depressing bath, although it has beautiful pressure and temperature."
Portugal,Double Room,Couple,2,December 2024,2024,December,9.0,Pleasant,"The reception on check-in day and checkout was good. Breakfast was great, the good room for price/comfort and cleaning.  When to return to the city of Porto I tell again at the Hotel Portinari.",The difficulty of car parking was the most negative in the stay.
Portugal,Twin Room,Family,1,December 2024,2024,December,1.0,,Rested,"Climatic conditions, in the room of a hotel this time, breakfast"
Brazil,Single Room,Solo traveller,2,December 2024,2024,December,8.0,Very good,Great cost x benefit.,There was no heater in the room.
Portugal,Twin Room,Family,1,January 2025,2025,January,3.0,Mau,The staff was very attentive and friendly and the mattress was comfortable !!!,"Poor, degraded room, with humidity on the walls."
Portugal,Single Room,Solo traveller,1,January 2025,2025,January,10.0,Pleasant,The reception and good location,No review
Portugal,Double Room,Couple,1,December 2024,2024,December,10.0,Exceptional,The location,We couldn't connect the room heater
Brazil,Single Room,Solo traveller,4,December 2024,2024,December,8.0,Very good,Simple but clean and fair price hotel,No review
Portugal,Double Room,Family,1,December 2024,2024,December,1.0,Lack of hygiene and conservation,Only breakfast.,"From the room, the ceiling had the paint peeling, the mattress had a hole and a lot of hygiene even in the bathroom."
Spain,Twin Room,Couple,2,November 2024,2024,November,8.0,"Well, it is not a hotel with a luxury but in relation to the price and attending customers I think it is worth it for which",Very friendly staff the girls of the very attentive reception,That there is no astender
Brazil,Twin Room,Couple,9,October 2024,2024,October,8.0,It was the best cost benefit and the most pleasant place we stayed.,"Very good coffee, excellent location, very friendly and helpful attendants, gave us all the necessary information, we feel at home.","I didn't like to have little time, because I would like to have stayed more."
Germany,Double Room,Family,2,November 2024,2024,November,1.0,Bad,No review,Old Bruchbude.
Brazil,Double Room,Family,6,November 2024,2024,November,3.0,Would not stay again,Team,"Cleaning could whim more, it was a condom used on the table for 2 days, if I didn't throw away they wouldn't play. Towels were not smelling and did not change their bedding"
Poland,Twin Room,Couple,1,November 2024,2024,November,4.0,Disappointing,No review,"Generally, the rooms are suitable for general renovation. No heating."
Portugal,Double Room,Couple,2,November 2024,2024,November,4.0,The staff was very friendly and helpful but the equipment was really not very good,Breakfast was well equipped with different rolls and cake varieties biscuits cereals fruit and there was always someone there and very helpful,"Even if you leave very early, you should be able to get a little in the morning on request and if it was only packed cookies, especially since it was paid for breakfast. The bed was very uncomfortable the light switches on the back in the middle when you had your arms under your head or rejected the light constantly. The climate was very loud. The door in the bathroom does not close properly."
Portugal,Double Room,Solo traveller,1,November 2024,2024,November,3.0,Poor,Personnel,"Bedroom was with dirty paper waste, soap packaging thrown on the floor. He was reserved room C bathtub and none of the bedrooms had. I spoke to the receptionist said that I couldn't do anything"
Portugal,Double Room,Couple,2,November 2024,2024,November,9.0,"Pleasant, I will return to the place",Cost benefit,Not have an elevator
Portugal,Double Room,Couple,1,November 2024,2024,November,8.0,Very good,"Welcoming environment, little movement, good location","In the bathroom without glasses, without a dryer and shampoo and gel bath only for one person; In the room there was no pillows"
Spain,Twin Room,Couple,1,November 2024,2024,November,4.0,Need urgent reform,Breakfast was fine,The old and rammed room and bathrooms
Brazil,Twin Room,Couple,1,October 2024,2024,October,1.0,Zeal,Only breakfast and bed.,"Air conditioning does not work, damaged bathroom door due to water dripping from the shower, missing lamp at the headboard and with mold on the walls. No minibar and with no pleasant view."
Spain,Single Room,Solo traveller,1,September 2024,2024,September,1.0,Bad,No review,has charged 2 times
Spain,Double Room,Family,2,October 2024,2024,October,1.0,Bad,I didn't like anything was the hotel,Nothing
Portugal,Double Room,Couple,1,October 2024,2024,October,8.0,Very good,The boy who received us was quite friendly. We just spent one night so the room was enough for us.,The location and the fact that it has no parking park.
Spain,Twin Room,Family,1,October 2024,2024,October,4.0,Disappointing,"Nothing  Very bad, I tried to go to another hotel but it was too late, bad room, very very old facilities,","Everything, the only thing that is saved is breakfast."
Portugal,Double Room,Group,1,October 2024,2024,October,8.0,Very good,"Cleaning, location and breakfast",Requires remodeling
France,Double Room,Couple,1,October 2024,2024,October,4.0,Disappointing,Nothing,"We did not appreciate the noise, the mattress, the room itself which was not really clean and very old. In the morning we had no more light in the room ..."
Portugal,Double Room,Couple,2,October 2024,2024,October,8.0,Very good,hospitality by employees and breakfast. The shower has hot water.,No review
Cape Verde,Twin Room,Couple,4,October 2024,2024,October,3.0,Poor,Location,No review
Brazil,Double Room,Couple,9,September 2024,2024,September,8.0,pleasant,"I really enjoyed the service at breakfast, hotel staff, very collaborative in the sense of information, extra service with details such as micro use, etc.",No review
Spain,Double Room,Solo traveller,1,September 2024,2024,September,1.0,,No review,No review
Portugal,Single Room,Solo traveller,1,September 2024,2024,September,1.0,Bad,I didn't like anything.,of everything.
Portugal,Single Room,Solo traveller,1,September 2024,2024,September,1.0,Bad,No review,"I felt completely mistaken, the photos are not that of the rooms that these are in very bad conditions very bad even, there are little more good hotels that do not mislead with false photos"
France,Single Room,Solo traveller,5,September 2024,2024,September,9.0,Superb,The staff were very helpful and the breakfast buffet was excellent.,No review
Portugal,Twin Room,Couple,1,September 2024,2024,September,4.0,Irrepetivel,The location,Lack of cleaning. Mauscheiros in the interior. Electric outlet without protection at 20 cm from the taps and toilet at the risk of electrocussion
Portugal,Double Room,Couple,3,September 2024,2024,September,1.0,Horrible,No review,"The hotel needs works, it's a shame ... WC All old, broken mirror glass, broken window glass, old mattress, dirty and background felt if the springs of the mattress, the night mt noise ... the towels were dirty ... horrible .."
Spain,Double Room,Family,3,August 2024,2024,August,4.0,Disappointed,"Breakfast and staff very well, very friendly.","The fatal room !!! The bathroom roof had a disgusting black mold bubble, in the room smelled a lot of moisture and some mold was seen on the roof, savannas and non -clean, some mold spots, a shame since in photos everything looks very beautiful and everything is really very old and in poor condition."
Portugal,Double Room,Couple,1,September 2024,2024,September,3.0,Bad,"Sympathetic reception girl, reasonable breakfast, good location","The rooms are terrible, noise a whole night of an engine, people coming in and out to the reception bell. The windows leave much to be desired. Very few towels and we didn't even have any for swimming."
Portugal,Double Room,Couple,1,September 2024,2024,September,1.0,Bad,Breakfast was reasonable,"The photographs showed a warm room, but that's not what I found, the very degraded bathroom and the mattress was horrible ..."
France,Twin Room,Couple,1,September 2024,2024,September,9.0,Clean Hotel Individual Salle For Petit Budget,Cleanliness,No review
Spain,Double Room,Couple,1,August 2024,2024,August,3.0,"It could be a good discovery, but unfortunately it has not been",THE BEST THE PRICE,"Ancient doors, the rooms become old and outdated, painted with a beige color that also does not benefit. When we arrived one of the other occupants must be in his room visualizing films for adults at full volume, everything was heard in our room with the closed door. At night between 23 and 00:30 a family with two children dedicated himself to staying on the stairs of the hotel they give to the rooms speaking aloud and the children shouting on the stairs with toy cars, nobody bothered to tell them anything during all that period despite the stairs give directly to the 24h reception of the hotel. The room smelled a bit of moisture possibly for having the interior bath without mechanical ventilation outside, simply with a ventilation rack that communicates bath and room."
Mozambique,Single Room,Solo traveller,2,September 2024,2024,September,10.0,optima,Good. Well located.,"Security, windows"
Portugal,Twin Room,Solo traveller,1,August 2024,2024,August,3.0,Discomfort,"Great location, friendly employees",All
Mozambique,Single Room,Solo traveller,1,August 2024,2024,August,8.0,Bom,Cama,Corridor space
France,Twin Room,Couple,1,August 2024,2024,August,8.0,Very good,Personnel adorable.,No review
Russia,Single Room,Solo traveller,3,August 2024,2024,August,10.0,Wonderful,I found breakfast cool,No review
Italy,Twin Room,Group,1,August 2024,2024,August,1.0,Bad structure,Parking not available at the structure but you can find without too many problems nearby,"Dirty and firm room, stained bedspread. We stayed and my friend and in the bathroom we find only one towel for the mascara -stained face and a towel for the bidet laundry. Broken door handle, we had to close the door with a chair behind. There is no lift (but this would still be the minor evil), breakfast with truly poor products (from fruit to cereals ..) Never again!"
Spain,Double Room,Family,3,August 2024,2024,August,2.0,Dirty and uncomfortable,Location next to El Metro,Dirty old bathroom roof with moisture there is no elevator the roof paint falls etc
Spain,Single Room,Group,2,August 2024,2024,August,8.0,Very good experience,Breakfast is economical and excellent. The place is quiet and well communicated by having close N12. The attention is good and all environments are clean.,"The air conditioning was fine, but could not regulate."
Portugal,Twin Room,Family,1,August 2024,2024,August,4.0,Disappointment for such embarrassment.,Education and sympathy service!,"For the second time I was in this hotel I found cheap in bed and this last time there were cockroaches in the bathroom and in the room we took pictures and made complaints, reportedly the room was detected but it does not seem to be effective!"
Spain,Twin Room,Family,3,August 2024,2024,August,1.0,Horror,Nothing .. Forrible,"Nothing at all Dirty, downed furniture, broken doors .. And to the question of whether the beds were comfortable, say that we were not even one night, we returned to Galicia that same day.  A Hold, I don't understand how you can offer it ..  I only send four photos for not giving option to upload more ..."
Spain,Double Room,Family,1,August 2024,2024,August,1.0,Nothing recommended,Breakfast,"In general, every fatal does not meet anything in the offered It has no elevator and the stairs are terror. They give you a second floor and when you arrive, you want to go down again. I would give the pension category of the 60s or pilgrim housing. The doors are fatal all matched at their bottom the plumbing facilities seem like those of Benito and Manolo."
Portugal,Double Room,Couple,4,August 2024,2024,August,10.0,Exceptional,The always very friendly staff. All very clean and well maintained. The best there is.,I'm just sorry to have to leave
Portugal,Double Room,Couple,2,August 2024,2024,August,3.0,Stay at the Portinari Hotel in Porto,The breakfast and the proximity of the city.,"Noise of cars, mattress, lack of painting of the room and doors. 3 -story hotel and no elevator. One of the girls at breakfast cleaned the crumbs from a table to the floor in front of us."
Portugal,Single Room,Solo traveller,1,August 2024,2024,August,8.0,According to the expectation,"Economic stay hotel, where price/quality ratio is in agreement. Simple but good breakfast. Friendly employees.","I don't understand some criticism I've seen from some customers. For for the amount you pay, the stay is in agreement. One cannot compare to a 3 or 4 stars, because it is not, nor does it seem to have pretense for it. It is an old hotel, with little sound isolation. It's simple and humble, where for the amount you pay, it's fine."
Germany,Double Room,Family,1,July 2024,2024,July,8.0,Very good,Super friendly staff,No review
Spain,Double Room,Family,1,July 2024,2024,July,1.0,Bad,Nothing,"Everything, badly located, the door of the room was old and closed badly, a lot of noise at night, there is no elevator I went with baby cart and tube that stays in the car, for the price of did not give even 20 euros at night it was more a pension than a hotel, if it helps you something is my comment."
Portugal,Double Room,Family,2,July 2024,2024,July,10.0,Exceptional,Excellent service,Nothing to claim
